Song Name,Artists,Artist_ID,Track_ID,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Times_played,Matched_Emotions
Blinding Lights,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,0VjIjW4GlUZAMYd2vXMi3b,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
Memories,Maroon 5,04gDigrS5kc9YWfZHwBETP,2b8fOow8UzyDFAE27YhOZM,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
SAD!,XXXTENTACION,15UsOTVnJzReFVN1VCnxy4,3ee8Jmje8o58CHK66QrVC2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
STAY (with Justin Bieber),"The Kid LAROI, Justin Bieber",2tIP7SsRs7vjIcLrU85W8J,5HCyWlXZPP0y6Gqq8TgA20,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
Someone You Loved,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,7qEHsqek33rTcFNT9PFqLf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
drivers license,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,7lPN2DXiMsVn7XUKtOW1CS,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Let Me Down Slowly,Alec Benjamin,5IH6FPUwQTxPSXurCrcIov,2qxmye6gAegTMjLKEBoR3d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Never Be the Same,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,4eWQlBRaTjPPUlzacqEeoQ,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
goosebumps,Travis Scott,0Y5tJX1MQlPlqiwlOH1tJY,6gBFPUFcJLzWGx4lenP6h2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
Him & I,"G-Eazy, Halsey",02kJSzxNuaWGqwubyUba0Z,3YU6vJbjYUG0tiJyXf9x5V,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Nonstop,Drake,3TVXtAsR1Inumwj472S9r4,0TlLq3lA83rQOYtrqBqSct,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",56mfhUDKa1vec6rSLZV5Eg,1xQ6trAsedVPCdbtDAmk0c,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
7 rings,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,6ocbgoVGwYJhOv1GgI9NsF,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Happier,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,2RttW7RAu5nOAfq6YFvApB,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Calm Down,Rema,46pWGuE3dSwY3bMMXGBvVS,6hgoYQDUcPyCz7LcTUHKxa,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
lovely (with Khalid),"Billie Eilish, Khalid",6qqNVTkY8uBg9cP3Jd7DAH,0u2P5u6lvoDfwTYjAADbn4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
Heat Waves,Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,3USxtqRwSYz57Ewm6wWRMp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Can't Hold Us (feat. Ray Dalton),"Macklemore & Ryan Lewis, Macklemore, Ryan Lewis, Ray Dalton",3JhNCzhSMTxs9WLGJJxWOY,22skzmqfdWrjJylampe0kt,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Stereo Hearts (feat. Adam Levine),"Gym Class Heroes, Adam Levine",4IJczjB0fJ04gs4uvP0Fli,0qOnSQQF0yzuPWsXrQ9paz,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1
