Song Name,Artists,Artist_ID,Track_ID,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Times_played,Matched_Emotions,lyrics
Waiting for a Girl like You,Foreigner,6IRouO5mvvfcyxtPDKMYFN,2OgVsp77En2nju8pnCieVU,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,"So long, I've been looking too hard, I've been waiting too long \nSometimes I don't know what I will find, I only know it's a matter of time \nWhen you love someone, when you love someone \nIt feels so right, so warm and true, I need to know if you feel it too \nMaybe I'm wrong, won't you tell me if I'm coming on too strong \n\nThis heart of mine has been hurt before, this time I wanna be sure \n\n\n\nI've been waiting for a girl like you to come into my life \n\nI've been waiting for a girl like you, your loving will survive \n\nI've been waiting for someone new to make me feel alive \n\nYeah, waiting for a girl like you to come into my life \n\n\n\nYou're so good, when we make love it's understood \n\nIt's more than a touch or a word can say \n\nOnly in dreams could it be this way \n\nWhen you love someone, yeah, really love someone \n\n\n\nNow I know it's right, from the moment I wake up till deep in the night \n\nThere's nowhere on earth that I'd rather be than holding you tenderly \n\n\n\nI've been waiting for a girl like you to come into my life \n\nI've been waiting for a girl like you, your loving will survive \n\nI've been waiting for someone new to make me feel alive \n\nYeah, waiting for a girl like you to come into my life \n\n\n\nI've been waiting, waiting for you, ooh, I've been waiting \n\nI've been waiting \n\n(I've been waiting for a girl like you, I've been waiting) \n\nWon't you come into my life?"
I Want to Know What Love Is - 1999 Remaster,Foreigner,6IRouO5mvvfcyxtPDKMYFN,1JLn8RhQzHz3qDqsChcmBl,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"[The following is a transcript from my Waking Up podcast. The text has been lightly edited for clarity readability.—SH]
Welcome to the Waking Up podcast. This is Sam Harris. T
oday I’ll be speaking with a man whose work I greatly admire—Dan Carlin, the host of the
 
Hardcore History
 
and Common Sense podcasts—
and Dan and I will be releasing this conversation jointly on both of our podcasts. We’re calling this a “crosscast,” which is analogous to a crosspost one sometimes sees on blogs that publish content simultaneously. It turns out we have many listeners in common, and many of you have been urging us to have a conversation, I think anticipating considerable disagreement on issues like the War on Terror, state security, and foreign policy. I don’t know that we collided as much as anyone might have expected, but we’ve had a good, energetic conversation, which I greatly enjoyed and I hope you will too. So in a moment, I give you Dan Carlin…
SH: Hey, Dan, how are you doing?
DC: I’m good, how are you?
SH: I’m great. Well, listen, as my listeners know, I have been frequently referring to you as the greatest history professor on earth, and I know this may cause you to blush, but I am just a huge fan of your Hardcore History podcast and have been recommending it to anyone with ears at this point.
DC: That is very dirty pool to start off a discussion with a compliment like that, because now what am I supposed to say? You said some of the nicest things, and I really appreciate them, thank you so much. Listen, isn’t it amazing we’re having these kinds of public discussions in the virtual realm here where everyone gets to watch? Modern technology has taken us back almost to an Athens-type situation, where we can have these sorts of public conversations and we don’t require some TV network to figure out if they can sell airtime or whatever for something like that. It’s a pretty interesting new world.
SH: Yeah, and I do not say this to preempt any criticism—
DC: Which always comes from me. That’s what I’m going to do.
SH: Actually, this was a question I wanted to ask you. You refer to yourself as “a fan of history,” and you are at pains to distinguish yourself from a professional historian or the legions thereof who may, in fact, be listening to your show and scrutinizing it for errors. Do you get pushback from academics? What’s that experience like for you?
DC: Well, I have to be honest. My own opinion here, but I think everyone’s been remarkably generous and nice to me on everything, because I had envisioned a completely different type of program when we started it. I wasn’t going to talk about any sort of narrative history at all. I was just going to talk about “Isn’t this weird?” and “Isn’t this funny?” and stuff history majors used to talk about on their lunch break. As the show evolved, the audience wanted more of the background, and so it went into territory I had never given a lot of thought to. You know, “Do I want to go challenge historians?” or something like that. This is why we use so many quotes and whatnot during the program, because I think, coming from the position that you know you’re not an expert, you’re not pretending to be an expert, when you make some sort of statement, we feel like you want “audio footnotes.” You want to say, “Listen, it’s not me saying this—here’s a couple of historical points of view.” You’re still picking and choosing, so it’s not totally fair, but I think I build that into the way we do things. If I was a professional historian with all the credentials and published all this, I would approach the program differently. Because I’m not, I try to make sure that every time we say something, we have somebody who is credible and trustworthy—or at least someone we should listen to a little bit more than the podcast host—back up what I’m saying. It’s become a key way that the show has evolved.
SH: Well, I wonder how deep that caveat actually cuts, because in my career, I have weighed in on many questions that fall outside the official area of my academic expertise, and occasionally I get pushback on this very point, that I don’t have a credential that would cause someone to be confident about my opinions in this area—let’s say on the topic of religion. But many of these subjects simply require that one read the books and be attentive to one’s sources and have conversations with experts. And at a certain point you’re playing the same language game the experts are. It’s certainly appropriate to have humility and be attentive to the frontiers of one’s ignorance, but in science this really breaks down quite starkly, because I’m surrounded by scientists who simply do not have the academic bona fides you would expect, and yet they are contributing in various areas of science at the highest level. There are physicists who don’t have Ph.D.s in physics; there are computer scientists who don’t have even college degrees. I am in dialogue now with an expert on artificial intelligence who never went to high school, so at a certain point it’s a matter of how you can function in a given domain, not a matter of what your CV looks like. And scientists, as long as you’re making sense, accept this far more readily, in my experience, than people in the humanities. I’m wondering how you view this, because unless you’re making mistakes and not correcting them, I don’t see how you’re not functioning as an expert on those topics you touch. Maybe if you want to be an expert on World War II, or at least the Nazi side of it, you need to deal with primary sources in German, and that’s some wrinkle there. But I’m just wondering how you see that.
DC: I think it sort of depends on the specialty we’re talking about. For example, take a surgeon who operates on people’s brains. I think we can agree that you’re not going to want your amateur brain surgeon coming in and saying, “Listen, I read this expert, and this is how he suggests we do it.” There’s a specific specialty there. I think bringing up the humanities, though, is a wonderful point, because the humanities by their very nature are all things with much more leeway than you get in something like brain surgery, for example. Look at the subjects that make up the humanities: law, religion, language, arts, music. I think the way to put it would be that you were just suggesting that people outside the expertise have something, perhaps, that they can bring to the table. In a lot of these cases, I think it three-dimensionalizes things a little bit to have somebody from another discipline apply the mode of thinking common in their discipline to an unusual realm—in other words, get a 360° view of things.Take a historical event. You might want to have the Second World War examined by somebody who’s an expert in military affairs. Obviously, somebody who’s an expert in international relations is going to write a book with a different point of view. One of the best books I ever read on the Second World War was done by an economist who looked at it from a completely different point of view. So in that sense, I think you can three-dimensionalize reality, and that’s what you’re doing when you look at history—you’re looking at a moment in reality, and there are multiple Rashomons, a variety of ways to look at things. What I maybe bring to the table is, I’m looking at this from outside the specialty. You know, when you deal with a lot of historians today, you are dealing with scientists in a certain realm. These are people who aren’t going to talk about things that they can’t quantify. Any good scientist is going to want to be able to back up what they say in a peer-reviewed journal. That’s how a lot of historians are today. But the specialty they study takes away that ability to look at things from a farther-away lens. So fifty years ago you would’ve had all these historians who would’ve been just fine looking at events as though they were in a satellite and giving you these big pronouncements. Most historians today wouldn’t be comfortable with that. The problem is, historians aren’t dealing with brain surgery, they’re dealing with human beings. That by its very nature is hard to quantify and hard to get your mind around. So I guess it gives me a lot more leeway than a brain surgeon. And they’ve been very kind to me, all these professionals. I think they sometimes don’t like the way I dramatize events, but I look at this like what Alfred Hitchcock famously said about drama: Drama is just reality with the boring bits taken out. That’s kind of how I look at the history show. I’m giving you the story that an author would give you or a writer would give you or a historian fifty years ago might give you.
SH: Well, what you’re doing is fantastic, and that will be my last dollop of praise before we get into areas of controversy."
As It Was,Harry Styles,6KImCVD70vtIoJWnq6nGn3,4Dvkj6JhhA12EX05fT7y2e,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Come on, Harry, we wanna say goodnight to you
\nHoldin' me back
\nGravity's holdin' me back
\nI want you to hold out the palm of your hand
\nWhy don't we leave it at that?\n\nNothin' to say\n\nAnd everything gets in the way\n\nSeems you cannot be replaced\n\nAnd I'm the one who will stay, oh-oh-oh\n\n\n\nIn this world, it's just us\n\nYou know it's not the same as it was\n\nIn this world, it's just us\n\nYou know it's not the same as it was\n\nAs it was, as it was\n\nYou know it's not the same\n\n\n\nAnswer the phone\n\n""Harry, you're no good alone\n\nWhy are you sitting at home on the floor?\n\nWhat kind of pills are you on?""\n\nRingin' the bell\n\nAnd nobody's coming to help\n\nYour daddy lives by himself\n\nHe just wants to know that you're well, oh-oh-oh\n\n\n\nIn this world, it's just us\n\nYou know it's not the same as it was\n\nIn this world, it's just us\n\nYou know it's not the same as it was\n\nAs it was, as it was\n\nYou know it's not the same\n\n\n\nGo home, get ahead, light-speed internet\n\nI don't wanna talk about the way that it was\n\nLeave America, two kids follow her\n\nI don't wanna talk about who's doin' it first\n\n\n\n(Hey)\n\nAs it was\n\nYou know it's not the same as it was\n\nAs it was, as it was"
Viva La Vida,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,1mea3bSkSGXuIRvnydlB5b,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"I used to rule the world \nSeas would rise when I gave the word \nNow in the morning I sleep alone \nSweep the streets that I used to own
\nI used to roll the dice \n\nFeel the fear in my enemy's eyes \n\nListen as the crowd would sing: \n\n""Now the old king is dead! \n\nLong live the king!""\n\n\n\nOne minute I held the key \n\nNext the walls were closed on me \n\nAnd I discovered that my castles stand \n\nUpon pillars of salt and pillars of sand\n\n\n\nI hear Jerusalem bells are ringing \n\nRoman Cavalry choirs are singing \n\nBe my mirror my sword and shield \n\nMy missionaries in a foreign field \n\nFor some reason I can't explain \n\nOnce you go there was never, never an honest word \n\nThat was when I ruled the world \n\n(Ohhh) \n\n\n\nIt was the wicked and wild wind \n\nBlew down the doors to let me in\n\nShattered windows and the sound of drums \n\nPeople couldn't believe what I'd become\n\n\n\nRevolutionaries wait \n\nFor my head on a silver plate \n\nJust a puppet on a lonely string\n\nOh who would ever want to be king? \n\n\n\nI hear Jerusalem bells are ringing\n\nRoman Cavalry choirs are singing \n\nBe my mirror my sword and shield \n\nMy missionaries in a foreign field \n\nFor some reason I can't explain \n\nI know Saint Peter won't call my name \n\nNever an honest word \n\nBut that was when I ruled the world \n\n(Ohhhhh Ohhh Ohhh)\n\n\n\nI hear Jerusalem bells are ringing\n\nRoman Cavalry choirs are singing \n\nBe my mirror my sword and shield \n\nMy missionaries in a foreign field \n\nFor some reason I can't explain \n\nI know Saint Peter won't call my name \n\nNever an honest word \n\nBut that was when I ruled the world \n\nOooooh Oooooh Oooooh"
Take on Me,a-ha,2jzc5TC5TVFLXQlBNiIUzE,2WfaOiMkCvy7F5fcp2zZ8L,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,"[Verse 1]
We're talking away
I don't know what I'm to say
I'll say it anyway
Today is another day to find you
Shyin' away
I'll be comin' for your love, okay?
[Chorus]
Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two
[Verse 2]
So, needless to say
I'm odds and ends
But I'll be stumblin' away
Slowly learnin' that life is okay
Say after me
""It's no better to be safe than sorry""
[Chorus]
Take on me (Take on me)
Take me on (Take on me)
I'll be gone
In a day or two"
Bohemian Rhapsody,Queen,1dfeR4HaWDbWqFHLkxsg1d,3z8h0TU7ReDPLIbEnYhWZb,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,"Is this the real life ?
\nIs this just fantasy ?
\nCaught in a landslide
\nNo escape from reality
\nOpen your eyes
\nLook up to the skies and see\n\nI'm just a poor boy, I need no sympathy\n\nBecause I'm easy come, easy go\n\nA little high, little low\n\nAnyway the wind blows, doesn't really matter to me, to me\n\n\n\nMama, just killed a man\n\nPut a gun against his head\n\nPulled my trigger, now he's dead\n\nMama, life had just begun\n\nBut now I've gone and thrown it all away\n\nMama, ooo\n\nDidn't mean to make you cry\n\nIf I'm not back again this time tomorrow\n\nCarry on, carry on, as if nothing really matters\n\n\n\nToo late, my time has come\n\nSent shivers down my spine\n\nBody's aching all the time\n\nGoodbye everybody - I've got to go\n\nGotta leave you all behind and face the truth\n\nMama, ooo - (anyway the wind blows)\n\nI don't wanna die\n\nI sometimes wish I'd never been born at all\n\n\n\nI see a little silhouette of a man\n\nScaramouch, scaramouch will you do the fandango\n\nThunderbolt and lightning - very very frightening me\n\nGallileo, Gallileo,\n\nGallileo, Gallileo,\n\nGallileo Figaro - magnifico (oh, oh, oh)\n\n\n\nBut I'm just a poor boy and nobody loves me\n\nHe's just a poor boy from a poor family\n\nSpare him his life from this monstrosity\n\nEasy come easy go - will you let me go\n\nBismillah! No - we will not let you go - let him go\n\nBismillah! He will not let you go - let him go\n\nBismillah! He will not let you go - let me go\n\nWill not let you go - let me go (never)\n\nNever let you go - let me go\n\nNever let me go - ooo\n\nNo, no, no, no, no, no, no -\n\nOh mama mia, mama mia, mama mia let me go\n\nBeelzebub has a devil put aside for me\n\nFor me\n\nFor me\n\n\n\nSo you think you can stone me and spit in my eye\n\nSo you think you can love me and leave me to die\n\nOh baby - can't do this to me baby\n\nJust gotta get out - just gotta get right outta here\n\n\n\nOoh yeah, ooh yeah\n\nNothing really matters\n\nAnyone can see\n\nNothing really matters - nothing really matters to me\n\n\n\nAnyway the wind blows..."
The Final Countdown,Europe,7Js6Lde8thlIHXggv2SCBz,3MrRksHupTVEQ7YbA0FsZK,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,"We're leaving together,
\nBut still it's farewell
\nAnd maybe we'll come back,
\nTo earth, who can tell ?
\nI guess there is no one to blame
\nWe're leaving ground (leaving ground)\n\nWill things ever be the same again?\n\n\n\nIt's the final countdown...\n\nIt's the final countdown...\n\n\n\nWe're heading for Venus and still we stand tall\n\nCause maybe they've seen us and welcome us all\n\nWith so many light years to go and things to be found (to be found)\n\nI'm sure that we'll all miss her so\n\n\n\nIt's the final countdown..."
Live Is Life,Opus,5pf1217gT8zcjOFc7oMi47,76pyWH7ZLr6q4kJZS3MmEE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,"Na na na na na
Na na na na na
[All together now]
Na na na na na
Na na na na na
Live, Na na na na na
Live is life, Na na na na na
La ba da ba ba live.
Na na na na na
Live When we all give the power.
We all give the best.
Every minute of an hour.
Don't think about a rest.
Then you all get the power.
You all get the best.
And everyone gives everything.
And every song everybody sings.
Live is life Na na na na na
Live is life Na na na na na
Live is life Na na na na na
La ba da ba ba live
Na na na na na
Live is life
When we all feel the power.
Live is life
Come on stand up and dance.
Live is life
When the feeling of the people.
Live is life
Is the feeling of the band.
When we all give the power.
We all give the best.
Every minute of an hour.
Don't think about a rest.
Then you all get the power.
You all get the best.
And everyone gives everything.
And every song everybody sings.
Live is life Na na na na na
Live is life Na na na na na
La ba da ba ba live
Na na na na na
Live is life Na na na na na
Live Na na na na na
Na na na na na
Na na na na na
Na na na na na
Live Na na na na na
Live is life Na na na na na
La ba da ba ba live
Na na na na na
Live is life Na na na na na
And you call when it's over.
You call it should last
Every minute of the future.
Is the memory of the past.
When we all gave the power.
We all gave the best.
And everyone gives everything.
And every song everybody sings.
Live is life."
Cheap Thrills,Sia,5WUlDfRSoLAfcVSX1WnrxN,27SdWb2rFzO6GWiYDBTD9j,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,"Come on, come on, turn the radio on\nIt's Friday night and I won't be long\nGotta do my hair, put my make up on\nIt's Friday night and I won't be long\n\nTill I hit the dance floor\n\nHit the dance floor\n\nI got all I need\n\nNo I ain't got cash\n\nNo I ain't got cash\n\nBut I got you baby\n\n\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBut I don't need no money\n\nAs long as I can feel the beat\n\nI don't need no money\n\nAs long as I keep dancing\n\n\n\nCome on, come on, turn the radio on\n\nIt's Saturday and I won't be long\n\nGotta paint my nails, put my high heels on\n\nIt's Saturday and I won't be long \n\n\n\nTil I hit the dance floor\n\nHit the dance floor\n\nI got all I need\n\nNo I ain't got cash\n\nNo I ain't got cash\n\nBut I got you baby\n\n\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBut I don't need no money\n\nAs long as I can feel the beat\n\nI don't need no money\n\nAs long as I keep dancing\n\n\n\n(I love cheap thrills)\n\n(I love cheap thrills)\n\nI don't need no money\n\nAs long as I can feel the beat\n\nI don't need no money\n\nAs long as I keep dancing, oh, oh\n\n\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBaby I don't need dollar bills to have fun tonight\n\n(I love cheap thrills)\n\nBut I don't need no money\n\nAs long as I can feel the beat\n\nI don't need no money\n\nAs long as I keep dancing\n\n\n\nLa, la, la, la, la, la (I love cheap thrills)\n\nLa, la, la, la, la, la (I love cheap thrills)\n\nLa, la, la, la, la, la (I love cheap thrills)\n\nLa, la, la, la, la, la (I love cheap thrills)"
We Who Lament,"Earthside, Keturah",6mRDRKsNautYuxybddnvgg,60YFo3TyBJ1nd2Flke5SYK,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"To be free or fearful?
To believe in a past controlled
Deciding what remembers
When we die
Will it matter
How we lived at all?
To our own ends
Will we be forceless again?
I can feel it
Blinding all
Lighting the way
For we who lament it
You're lighting the way
We're so indigent
You're lighting, we’re writhing
Save yourself
Because I'm the one withered
Playing my sordid part you've tendered
Save yourself
Because I'm the one splintered
You're signing our fate
Here we lie
Our souls in cinders
They've blinded us all
Can we find a way
To realize, who we are"
