Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
pheebs whats wrong,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Negative
mmhmmh,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
yes little black book got numbers guys ive dated,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
would youre last one,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
red x next bob greenmores name mean,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Negative
hey im sorry given guys black book got married although wasnt much book napkin janices phone number,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,Negative
phoebe isnt jethro tull band,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
oh ill tell agency bidding big account,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Negative
oh dont know really dont think youre right part,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
first bravo uh really dont think youre right part calls stuffy college professor,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
guess whos finalist,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
ah well unless creepy guy hand kilt im gonna say congratulations,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Negative
oh im excited mean apparently beat hundreds applicants included five guys went graduate school im keeping score anything,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Negative
well ok 25 thousand dollars get ill finally able complete field research,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
wait talking dewar grant,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,Negative
exboyfriend,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Negative
exboyfriend gonna determine new boyfriend gets grant wow new boyfriend screwed,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
well think would help,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
yes absolutely ill call,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
mmh pretty serious latex fetish,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,Negative
well told spend day clearing stuff mike could move,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Negative
oh well im might well help cleaning organizing happen label maker,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
uh chandler want,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,Negative
well course whats like ill take minute know think youre giving easy honey think need fight,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
absolutely yes say im sorry mike cant live without,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,Negative
ok ill fight ok oh wait oh realized means dont get,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Negative
damn,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,Negative
mean rach dont seem like professor youd buy kind ecrap,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,Negative
im sorry sounds like something im never gonna interested,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
pass boss,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
hes right part suggest bosses gonna think im idiot thats something learn,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,Negative
tell joey watched tape liked bosses didnt way youre good guy theyre bad guys,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Negative
cant believe im meet benjamin hobart ive always thought one people id invite fantasy dinner party think theres chance hell bring christie brinkley c3po,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
ross dont tell benji proposal go ladies room,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Negative
ok well would like dig painted desert,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Negative
see still several areas havent fully excavated,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,Negative
break charlie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
well yes yes say didnt say,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Negative
kind inappropriate,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,Negative
im sorry havent seen long feelings rushing back im starting realize much missed im gonna need break,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,Negative
hi sorry im late,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
really hates hes gonna let keep box human hair got pick battles good news gladys,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Negative
wow whats bad news,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Negative
oh didnt know wanted,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Negative
huh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Negative
well mean sure course already gave monica,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Negative
couldnt let,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
dont want,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,Negative
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Negative
insist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Negative
bad news watched tape passed along bosses werent interested,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,Negative
look one thing cast lie,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,Negative
