Cleaned_Dialogue,Song Recommendations
pheebs whats wrong,Don't Let The Light Go Out
mmhmmh,Blinding Lights
yes little black book got numbers guys ive dated,Confidence
would youre last one,Ain't No Rest for the Wicked
red x next bob greenmores name mean,Into the Unknown - Panic! At The Disco Version
hey im sorry given guys black book got married although wasnt much book napkin janices phone number,I Feel It Coming
phoebe isnt jethro tull band,Toxicity
oh ill tell agency bidding big account,The Ballad of Mona Lisa
oh dont know really dont think youre right part,Middle Of A Breakup
first bravo uh really dont think youre right part calls stuffy college professor,Toxicity
guess whos finalist,Enemy (with JID) - from the series Arcane League of Legends
ah well unless creepy guy hand kilt im gonna say congratulations,Lose Yourself
oh im excited mean apparently beat hundreds applicants included five guys went graduate school im keeping score anything,One of the Drunks
well ok 25 thousand dollars get ill finally able complete field research,Can't Hold Us (feat. Ray Dalton)
wait talking dewar grant,Cotton Eye Joe
exboyfriend,Beautiful Alien (feat. AI AM) - Radio Edit
exboyfriend gonna determine new boyfriend gets grant wow new boyfriend screwed,Duality
well think would help,Don't Panic
yes absolutely ill call,I Made It
mmh pretty serious latex fetish,All We Know
well told spend day clearing stuff mike could move,Hey Look Ma
oh well im might well help cleaning organizing happen label maker,Can't Feel My Face
uh chandler want,Chop Suey!
well course whats like ill take minute know think youre giving easy honey think need fight,Can't Hold Us (feat. Ray Dalton)
absolutely yes say im sorry mike cant live without,Setting Fires
ok ill fight ok oh wait oh realized means dont get,Ain't No Rest for the Wicked
damn,Symphony Of Destruction - Remastered 2012
mean rach dont seem like professor youd buy kind ecrap,Toxicity
im sorry sounds like something im never gonna interested,Psychosocial
pass boss,Royals
hes right part suggest bosses gonna think im idiot thats something learn,Monster
tell joey watched tape liked bosses didnt way youre good guy theyre bad guys,It's My Life
cant believe im meet benjamin hobart ive always thought one people id invite fantasy dinner party think theres chance hell bring christie brinkley c3po,Sandstorm
ross dont tell benji proposal go ladies room,You Just Haven't Thought of It Yet
ok well would like dig painted desert,Sandstorm
see still several areas havent fully excavated,Don't Panic
break charlie,Rolling in the Deep
well yes yes say didnt say,Bad Liar
kind inappropriate,I Bet My Life
im sorry havent seen long feelings rushing back im starting realize much missed im gonna need break,Plastic Heart
hi sorry im late,Kaer Morhen
really hates hes gonna let keep box human hair got pick battles good news gladys,Young Dumb & Broke
wow whats bad news,Bonfire
oh didnt know wanted,Chop Suey!
huh,Heaven and Hell - 2008 Remaster
well mean sure course already gave monica,Then We'll Talk
couldnt let,Psychosocial
dont want,The Hardest Part
insist,Hall of Fame (feat. will.i.am)
insist,Astronaut In The Ocean
bad news watched tape passed along bosses werent interested,All We Know
look one thing cast lie,Hurricane
im lying watched,One of the Drunks
selection committee chosen three finalists today ultimate decision based upon answers give questions ask im gonna start dr li dr li claim field reliant linnaean taxonomic system propose correct problem,Smooth Criminal - 2012 Remaster
well believe answers lie osteological evidence plan begin,You Just Haven't Thought of It Yet
dr biely proposal includes field work might take place,Don't Panic
