Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
god,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive
well,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
whoo,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
oh pheebs baby thats nice know think im ok dont give one single girlfriends,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive
oh first love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive
monica,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Positive
cool,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
thats great hey cast,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
software facilitates interbusiness networking esolutions,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
wow thats great tell grant,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
yeah,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
benjamin hobart administering grant,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
yeah,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
ended great terms mean anything think could help know dont go dinner together introduce,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Positive
ok anything know butter anything really likes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Positive
well see dinner goes,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Positive
hey wanna go see movie,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
oh right,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,Positive
oh,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
yeah really,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
dont like,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
really think,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,Positive
hey guys,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
oh word casting yet,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive
joe told youre right part,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,Positive
joe,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
watch dont like dont pass bosses,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
fine,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Positive
work joe,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive
charlie god look absolutely stunning,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive
well good hair day,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
good see,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
im ok,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
oh well likewise actually likewise ive never heard morning nice nice,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
tell,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
mm,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Positive
say break charlie,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,Positive
say yes im serious say im joking,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive
joking,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive
hey go mike gonna let keep painting,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,Positive
whos gladys,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Positive
oh shes work art made know woman coming frame,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Positive
