Cleaned_Dialogue,Happiness,Contentment,Confidence,Neutral,Sadness,Anger,Fear,Surprise,Disgust,Love,Excitement,Anticipation,Nostalgia,Confusion,Frustration,Longing,Optimism,Positive/Negative,Song Recommendations
hey,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
hi,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
god,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Positive,"Immigrant Song - Remaster, Beautiful Alien (feat. AI AM) - Radio Edit, Kaer Morhen"
well,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Positive,"Don't Panic, Kaer Morhen, Free Bird - Edit"
whoo,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,Positive,"Cake By The Ocean, We Are Young (feat. Janelle Monáe), Savage Love (Laxed - Siren Beat)"
oh pheebs baby thats nice know think im ok dont give one single girlfriends,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Positive,"In Waves, Unsainted, Psychosocial"
oh first love,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,Positive,"Symphony (feat. Zara Larsson), Let Me Love You, Señorita"
oh,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,Positive,"Bonfire, Trndsttr, Collar Full"
monica,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Positive,"Heat Waves, Bad Liar, Bohemian Rhapsody"
cool,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Positive,"Orinoco Flow, Snow (Hey Oh), Can't Feel My Face"
thats great hey cast,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,Positive,"Sandstorm, Enemy (with JID) - from the series Arcane League of Legends, Thunder"
software facilitates interbusiness networking esolutions,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,Positive,"Smooth Criminal - 2012 Remaster, Dance Off (feat. Idris Elba & Anderson .Paak), The Ballad of Mona Lisa"
