Cleaned_Dialogue,Positive/Negative,Song Recommendations
oh pheebs baby thats nice know think im ok dont give one single girlfriends,Positive,In Waves
thats great hey cast,Positive,Sandstorm
software facilitates interbusiness networking esolutions,Positive,The Ballad of Mona Lisa
wow thats great tell grant,Positive,Someone In The Crowd
benjamin hobart administering grant,Positive,Hotter Than Hell
ended great terms mean anything think could help know dont go dinner together introduce,Positive,Everything's Not Lost - Includes Hidden Track 'Life Is For Living'
ok anything know butter anything really likes,Positive,Painkiller
well see dinner goes,Positive,Whatever It Takes
hey wanna go see movie,Positive,Thunder
oh word casting yet,Positive,Thunder
joe told youre right part,Positive,All We Know
watch dont like dont pass bosses,Positive,It's My Life
charlie god look absolutely stunning,Positive,Savage Love (Laxed - Siren Beat)
well good hair day,Positive,Pumped Up Kicks
oh well likewise actually likewise ive never heard morning nice nice,Positive,Sugar
say yes im serious say im joking,Positive,Smooth Criminal - 2012 Remaster
hey go mike gonna let keep painting,Positive,Holy Wars...The Punishment Due - 2004 Remix
oh shes work art made know woman coming frame,Positive,Hotter Than Hell
certainly well dr geller birthday,Positive,Bleed
certainly dr geller 1965 shirelles hit later covered popular british invasion band,Positive,The Ballad of Mona Lisa
anyway ive decided offer grant,Positive,Young Dumb & Broke
well one small stipulation,Positive,Royals
hey got one right,Positive,You Just Haven't Thought of It Yet
alright fine keep long dont mind shes haunted,Positive,Sign of the Times
know youre right whats gonna take forgive,Positive,Someone You Loved
im pretty little girl,Positive,Temperature
yeah wouldnt give grant,Positive,I Bet My Life
benji isnt love mean broke,Positive,Wrong
im sure joking ross,Positive,Calm Down
well like lake mbosco congo mbo,Positive,Cotton Eye Joe
dont want look eyes tell truth,Positive,Symphony Of Destruction - Remastered 2012
alright true behaved horribly still love would,Positive,I Bet My Life
never broken think time mean ever still think,Positive,November Rain
dont know say benji romantic,Positive,Cotton Eye Joe
listen know may way bounds chance take back,Positive,Sleepwalking
okay thats seeing people,Positive,Hurricane
okay that’s like least fun game ever,Positive,I Write Sins Not Tragedies
ross watched get hypnotised atlantic city,Positive,Beautiful Alien (feat. AI AM) - Radio Edit
hey guy hypnotise okay,Positive,Toxicity
little brother’s getting married,Positive,Someone In The Crowd
