Cleaned_Dialogue,Song Recommendations
hey,Savage Love (Laxed - Siren Beat)
hi,Orinoco Flow
oh,Bonfire
god,Immigrant Song - Remaster
well,Don't Panic
whoo,Savage Love (Laxed - Siren Beat)
oh pheebs baby thats nice know think im ok dont give one single girlfriends,Psychosocial
oh first love,Señorita
oh,Collar Full
monica,Bohemian Rhapsody
cool,Can't Feel My Face
thats great hey cast,Enemy (with JID) - from the series Arcane League of Legends
software facilitates interbusiness networking esolutions,The Ballad of Mona Lisa
wow thats great tell grant,C'mon - Single Version
yeah,Bleed
benjamin hobart administering grant,Lose Yourself
yeah,Hall of Fame (feat. will.i.am)
ended great terms mean anything think could help know dont go dinner together introduce,People of The Pride
ok anything know butter anything really likes,Chop Suey!
well see dinner goes,Whatever It Takes
hey wanna go see movie,Enemy (with JID) - from the series Arcane League of Legends
oh right,Bleed
oh,Toxicity
yeah really,Young Dumb & Broke
dont like,Sugar
really think,Charlie Brown
hey guys,E1 (3x3)
oh word casting yet,Thunder
joe told youre right part,All We Know
joe,Bad Liar
watch dont like dont pass bosses,It's My Life
fine,Wait and Bleed
work joe,Can't Hold Us (feat. Ray Dalton)
charlie god look absolutely stunning,We Are Young (feat. Janelle Monáe)
well good hair day,Pumped Up Kicks
good see,Paradise
im ok,Hall of Fame (feat. will.i.am)
oh well likewise actually likewise ive never heard morning nice nice,Sugar
tell,Kaer Morhen
mm,Toxicity
say break charlie,Toxicity
say yes im serious say im joking,Dance Off (feat. Idris Elba & Anderson .Paak)
joking,Often
hey go mike gonna let keep painting,I Dunno (feat. Dutchavelli & Stormzy)
whos gladys,Heaven and Hell - 2008 Remaster
oh shes work art made know woman coming frame,Hotter Than Hell
know would give,Die For You
want,New Rules
landed food,Then We'll Talk
hey joe,C'mon - Single Version
whats,A Million Dreams
watched,Smooth Criminal - 2012 Remaster
keep going pinocchio,You Just Haven't Thought of It Yet
watch tape,Don't Panic
certainly well dr geller birthday,Toxicity
half dozen,Pumped Up Kicks
see dr biely,Kaer Morhen
certainly dr geller 1965 shirelles hit later covered popular british invasion band,The Ballad of Mona Lisa
