Song Name,Track_ID
Blinding Lights,0VjIjW4GlUZAMYd2vXMi3b
Memories,2b8fOow8UzyDFAE27YhOZM
SAD!,3ee8Jmje8o58CHK66QrVC2
STAY (with Justin Bieber),5HCyWlXZPP0y6Gqq8TgA20
Someone You Loved,7qEHsqek33rTcFNT9PFqLf
drivers license,7lPN2DXiMsVn7XUKtOW1CS
Let Me Down Slowly,2qxmye6gAegTMjLKEBoR3d
Never Be the Same,4eWQlBRaTjPPUlzacqEeoQ
goosebumps,6gBFPUFcJLzWGx4lenP6h2
Him & I,3YU6vJbjYUG0tiJyXf9x5V
Nonstop,0TlLq3lA83rQOYtrqBqSct
Savage Love (Laxed - Siren Beat),1xQ6trAsedVPCdbtDAmk0c
7 rings,6ocbgoVGwYJhOv1GgI9NsF
Happier,2RttW7RAu5nOAfq6YFvApB
Calm Down,6hgoYQDUcPyCz7LcTUHKxa
lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4
Heat Waves,3USxtqRwSYz57Ewm6wWRMp
Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt
Stereo Hearts (feat. Adam Levine),0qOnSQQF0yzuPWsXrQ9paz
Dusk Till Dawn (feat. Sia) - Radio Edit,3e7sxremeOE3wTySiOhGiP
Bad Liar,2RSHsoi04658QL5xgQVov3
FRIENDS,08bNPGLD8AhKpnnERrAc6G
Treat You Better,3QGsuHI8jO1Rx4JWLUh9jd
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED
Wolves,0tBbt8CrmxbjRP0pueQkyU
Señorita,6v3KW9xbzN5yKLt9YKDYA2
No Lie,48QmG1dfvMuYLxMPt7KSRA
Whatever It Takes,6Qn5zhYkTa37e91HC1D7lb
Falling,0Aqi7ArnBrGblW5T6p2jmD
Hymn for the Weekend,3RiPr603aXAoi4GHyXx0uy
Counting Stars,2tpWsVSb9UEmDRxAl1zhX1
Rockabye (feat. Sean Paul & Anne-Marie),2hrUO4drrO63i7FYbCLBl2
Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Perfect,0tgVpDi06FyKpA1z0VMD4v
Attention,5cF0dROlMOK5uNZtivgu50
Symphony (feat. Zara Larsson),72gv4zhNvRVdQA0eOenCal
Believer,0pqnGHJpmpxLKifKRmU6WP
The Greatest,6bLopGnirdrilrpdVB6Um1
Thunder,1zB4vmk8tFRmM9UULNzbLB
Closer,7BKLCZ1jbUBVqRi2FVlTVw
Let Me Love You,0lYBSQXN6rCTvUZvg9S0lU
See You Again (feat. Charlie Puth),2JzZzZUQj3Qff7wapcbKjc
Maps,4gbVRS8gloEluzf0GzDOFc
I Don’t Wanna Live Forever (Fifty Shades Darker),55n9yjI6qqXh5F2mYvUc2y
Animals,2bL2gyO6kBdLkNSkxXNh6x
Shape of You,7qiZfU4dY1lWllzX7mPBI3
Paris,72jbDTw1piOOj770jWNeaG
The Middle,09IStsImFySgyp0pIQdqAc
Titanium (feat. Sia),0lHAMNU8RGiIObScrsRgmP
"Take Me Home, Country Roads - Original Version",1YYhDizHx7PnDhAhko6cDS
Waiting for a Girl like You,2OgVsp77En2nju8pnCieVU
I Want to Know What Love Is - 1999 Remaster,1JLn8RhQzHz3qDqsChcmBl
As It Was,4Dvkj6JhhA12EX05fT7y2e
Viva La Vida,1mea3bSkSGXuIRvnydlB5b
Take on Me,2WfaOiMkCvy7F5fcp2zZ8L
Bohemian Rhapsody,3z8h0TU7ReDPLIbEnYhWZb
The Final Countdown,3MrRksHupTVEQ7YbA0FsZK
Live Is Life,76pyWH7ZLr6q4kJZS3MmEE
Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j
We Who Lament,60YFo3TyBJ1nd2Flke5SYK
"Alone, Pt. II",28VbwtsYnj85UEODGpQRem
I'm Good (Blue),4uUG5RXrOk84mYEfFvj3cK
Bones,54ipXppHLA8U4yqpOFTUhr
Demons,5qaEfEh1AtSdrdrByCP7qR
Something Just Like This,6RUKPb4LETWmmr3iAEQktW
A Sky Full of Stars,0FDzzruyVECATHXKHFs9eJ
Hips Don't Lie (feat. Wyclef Jean),3ZFTkvIE7kyPt6Nu3PEa7V
Wavin' Flag - Coca-Cola® Celebration Mix,4nOygULhEuDO5ZBRNPFaso
Time of Our Lives,1OPLF48hCfqeEjlFP3e8xX
The Nights,0ct6r3EGTcMLPtrXHDvVjc
Hall of Fame (feat. will.i.am),7wMq5n8mYSKlQIGECKUgTX
Hotel California - 2013 Remaster,40riOy7x9W7GXjyGp4pjAv
Laid to Rest,1yc53HK08sDab7PDFgnLWk
Are You Dead Yet?,52s05aBQd2LVc6EWIQCQI1
Breaking the Law,2RaA6kIcvomt77qlIgGhCT
Holy Wars...The Punishment Due - 2004 Remix,5LyRtsQLhcXmy50VXhQXXS
Symphony Of Destruction - Remastered 2012,5mR858YsHYG761aUqZoGkD
Painkiller,0L7zm6afBEtrNKo6C6Gj08
Cowboys from Hell,2SgbR6ttzoNlCRGQOKjrop
Heaven and Hell - 2008 Remaster,3Jl5GohfNwozDmpzmQBLDI
Raining Blood,01Mpj13vURSO3cCLprPt5T
Pull Me Under,5CPXR6lDTvngxtmMZxnWmC
Bleed,4E6wpXABj8XosZEPXZz2OK
Paranoid - 2012 - Remaster,1Y373MqadDRtclJNdnUXVc
Flying Whales,5OjCsHeByDYEGxMrb1z8KQ
Blood and Thunder,3jagGO7eHHuaD53ibehkux
Voice of the Soul,69Yia3qCLw6N9U80WhLwLn
Ghost of Perdition,0ppdt8zRZOHIKh4ZDB0Zp9
Psychosocial,3RAFcUBrCNaboRXoP3S5t1
In Waves,1yYr4D1KjhhyDD5bZIiFQy
Blackwater Park,7IDQX9EUgMNQTgYcZSpO1d
As I Am,6hz6lrQtLcxOOjflnYjF9o
Needled 24 / 7,1aKrYw2i1mWRPMOUUe3dT8
Hail to the King,5anCkDvJ17aznvK5TED5uo
Toxicity,0snQkGI5qnAmohLE7jTsTn
Schism,55mJleti2WfWEFNFcBduhc
B.Y.O.B.,0EYOdF5FCkgOJJla8DI2Md
Nightmare,4UEo1b0wWrtHMC8bVqPiH8
Through the Fire and Flames,6nnacTL5on2aVsRhVDNUSo
Killing In The Name,59WN2psjkt1tyaxjspN8fp
Cirice,3ZXZ9RMsznqgyHnyq0K5FL
Welcome To The Jungle,0G21yYKMZoHa30cYVi1iA8
Rock You Like A Hurricane,58XWGx7KNNkKneHdprcprX
The Pot,1lATXTBJDHwawvT1UfxWu3
To Hell and Back,1BrgjqSg9du0lj3TUMLluL
Duality,61mWefnWQOLf90gepjOCb3
The Trooper (2015 Remaster),2C3B3dva983HPMojFqWLOp
Walk,7fcfNW0XxTWlwVlftzfDOR
In the End,60a0Rd6pjrkxjPbaKzXjfq
Numb,2nLtzopw4rPReszdYBJU6h
Wake Me Up,0nrRP2bk19rLc0orkWPQk2
I Want It That Way,47BBI51FKFwOMlIiX6m8ya
Back In Black,08mG3Y1vljYA6bvDt4Wqkj
Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW
Zombie,7EZC6E7UjZe63f1jRmkWxt
You Give Love A Bad Name,0rmGAIH9LNJewFw7nKzZnc
